Company Name,Ticker,Fiscal Year,Revenue Group (Reportable Segment),Revenue Line,Line Item description (company language),Revenue ($m)
MICROSOFT CORP,MSFT,2025,Intelligent Cloud,Server products and cloud services,"Server products and cloud services consists of Microsoft's public, private, and hybrid server products and cloud services, including Azure and other cloud services (such as cloud and AI consumption-based services, GitHub cloud services, Nuance Healthcare cloud services, and virtual desktop offerings), as well as on-premises server products like SQL Server, Windows Server, Visual Studio, System Center, and related Client Access Licenses.",98435.0
MICROSOFT CORP,MSFT,2025,Productivity and Business Processes,Microsoft 365 Commercial products and cloud services,"Microsoft 365 Commercial products and cloud services consists of productivity, communication, and information services for commercial customers, including both cloud-based and on-premises offerings such as Microsoft 365 Commercial, Enterprise Mobility + Security, Exchange, SharePoint, Microsoft Teams, Microsoft 365 Security and Compliance, Microsoft 365 Copilot, Windows Commercial, and Power BI.",87767.0
MICROSOFT CORP,MSFT,2025,More Personal Computing,Gaming,"Gaming revenue includes Xbox hardware and Xbox content and services, comprising first- and third-party content (including games and in-game content), Xbox Game Pass and other subscriptions, Xbox Cloud Gaming, advertising, and other cloud services.",23455.0
MICROSOFT CORP,MSFT,2025,Productivity and Business Processes,LinkedIn,"LinkedIn connects the world’s professionals to make them more productive and successful and transforms the way companies hire, market, sell, and learn. LinkedIn revenue includes offerings such as Talent Solutions, Marketing Solutions, Premium Subscriptions, and Sales Solutions.",17812.0
MICROSOFT CORP,MSFT,2025,More Personal Computing,Windows and Devices,"Windows and Devices includes Windows OEM licensing (Windows Pro and non-Pro licenses sold through the OEM channel) and Devices, comprising Surface and PC accessories.",17314.0
MICROSOFT CORP,MSFT,2025,More Personal Computing,Search and news advertising,"Search and news advertising comprises advertising offerings across Bing and Copilot, Microsoft News, Microsoft Edge, and third-party affiliates.",13878.0
MICROSOFT CORP,MSFT,2025,Productivity and Business Processes,Dynamics products and cloud services,"Dynamics products and cloud services include Dynamics 365, which comprises a set of intelligent, cloud-based applications across ERP, CRM, Power Apps, and Power Automate, as well as on-premises ERP and CRM applications.",7827.0
MICROSOFT CORP,MSFT,2025,Intelligent Cloud,Enterprise and partner services,"Enterprise and partner services includes Enterprise Support Services, Industry Solutions, Nuance professional services, Microsoft Partner Network, and Learning Experience, providing a range of support, consulting, and professional services to enterprise customers and partners.",7760.0
MICROSOFT CORP,MSFT,2025,Productivity and Business Processes,Microsoft 365 Consumer products and cloud services,"Microsoft 365 Consumer products and cloud services include Microsoft 365 Consumer subscriptions, Office licensed on-premises, and other consumer services designed to increase personal productivity and creativity through a range of products and services.",7404.0
MICROSOFT CORP,MSFT,2025,Other,Other,"The 'Other' revenue line includes sales from various sources not classified under the main product and service categories, such as service and other revenue from cloud-based solutions, solution support, consulting services, online advertising, and LinkedIn.",72.0
NVIDIA CORP,NVDA,2025,"$116,193","$116,193","The Compute & Networking revenue line consists of NVIDIA's data center compute and networking platforms for accelerated computing and AI solutions, including products based on the Hopper and Blackwell architectures.",130497.0
NVIDIA CORP,NVDA,2025,"$82,875","$82,875","This revenue line represents the operating income from NVIDIA's Compute & Networking segment, which includes products and platforms for accelerated computing and AI solutions, such as data center compute and networking platforms.",81453.0
NVIDIA CORP,NVDA,2025,"$47,405","$47,405","This revenue line represents the Compute & Networking segment, which includes products and solutions for accelerated computing, data centers, and networking infrastructure. It comprises sales to direct customers such as AIBs, distributors, ODMs, and OEMs.",60922.0
NVIDIA CORP,NVDA,2025,"$32,016","$32,016",,32972.0
NVIDIA CORP,NVDA,2025,"$15,068","$15,068",,26974.0
NVIDIA CORP,NVDA,2025,"$5,083","$5,083",,4224.0
