Company Name,Ticker,Fiscal Year,Revenue Group (Reportable Segment),Revenue Line,Line Item description (company language),Revenue ($m)
Alphabet Inc.,GOOGL,2024,Google Services,Google Search & other,"Google Search & other includes revenues generated on Google search properties (including revenues from traffic generated by search distribution partners who use Google.com as their default search in browsers, toolbars, etc.), and other Google owned and operated properties like Gmail, Google Maps, and Google Play.",198084.0
Alphabet Inc.,GOOGL,2024,Google Cloud,Google Cloud,"Google Cloud generates revenues primarily from consumption-based fees and subscriptions for infrastructure, platform, applications, and other cloud services through Google Cloud Platform and Google Workspace offerings.",43229.0
Alphabet Inc.,GOOGL,2024,Google Services,"Google subscriptions, platforms, and devices","Google subscriptions, platforms, and devices includes consumer subscriptions (primarily revenues from YouTube services such as YouTube TV, YouTube Music and Premium, NFL Sunday Ticket, and Google One), platforms (primarily revenues from Google Play sales of apps and in-app purchases), and devices (primarily sales of the Pixel family of devices).",40340.0
Alphabet Inc.,GOOGL,2024,Google Services,YouTube ads,YouTube ads includes revenues generated on YouTube properties.,36147.0
Alphabet Inc.,GOOGL,2024,Google Services,Google Network,"Google Network includes revenues generated on Google Network properties participating in AdMob, AdSense, and Google Ad Manager.",30359.0
Alphabet Inc.,GOOGL,2024,Other Bets,Other Bets,Other Bets consists of all non-Google businesses collectively reported by Alphabet.,1648.0
"Meta Platforms, Inc.",META,2024,Family of Apps (FoA),Advertising,Advertising is the Company's line of revenue generated from selling advertising placements on its family of apps to marketers.,160633.0
"Meta Platforms, Inc.",META,2024,Reality Labs,Reality Labs,"Reality Labs generates revenue from sales of consumer hardware products, software, and content.",2146.0
"Meta Platforms, Inc.",META,2024,Family of Apps (FoA),Other revenue,,1722.0
NVIDIA CORP,NVDA,2025,Compute & Networking,Compute,,102196.0
NVIDIA CORP,NVDA,2025,Compute & Networking,Networking,,12990.0
NVIDIA CORP,NVDA,2025,Graphics,Gaming,,11350.0
NVIDIA CORP,NVDA,2025,Graphics,Professional Visualization,,1878.0
NVIDIA CORP,NVDA,2025,Product/Service disclosure,Automotive,,1694.0
NVIDIA CORP,NVDA,2025,Product/Service disclosure,OEM and Other,,389.0
